stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,route_ids,route_names,route_types
29.741221,0,1175,-95.342933,,,,POLK ST & MILBY ST,Polk St @ Milby St,0,1175,,"40,41","40,41",3
29.740174,0,1173,-95.33945,,,,POLK ST & CULLEN BLVD,Polk St @ Cullen Blvd,0,1173,,"40,41","40,41",3
29.739265,0,1172,-95.33653,,,,POLK ST & SIDNEY ST,Polk St @ Sidney St,0,1172,,"40,41","40,41",3
29.738728,0,1171,-95.334724,,,,POLK ST & EASTWOOD,Polk St @ Eastwood St,0,1171,,"40,41","40,41",3
29.738132,0,1170,-95.332594,,,,POLK ST & TELEPHONE RD,Polk St @ Telephone Rd,0,1170,,"40,41","40,41",3
29.743886,0,1178,-95.348571,,,,POLK ST & PALMER ST,Polk St @ Palmer St,0,1178,,"40,41","40,41",3
29.731684,0,7188,-95.468014,,,,RICHMOND AVE & S RICE AVE,Richmond Ave @ S Rice Ave,0,7188,,25,25,3
29.731657,0,7189,-95.47155,,,,RICHMOND AVE & YORKTOWN ST,Richmond Ave @ Yorktown St,0,7189,,25,25,3
29.753735,0,7180,-95.541958,,,,GESSNER RD & STONEY CREEK DR,Gessner Rd @ Stoney Creek Dr,0,7180,,46,46,3
29.750603,0,7181,-95.538976,,,,S GESSNER RD & BAYOU ISLAND DR,Gessner Rd @ Bayou Island Dr,0,7181,,46,46,3
29.747724,0,7182,-95.538574,,,,S GESSNER RD & BRIAR FOREST DR,Gessner Rd @ Briar Forest Dr,0,7182,,46,46,3
29.744245,0,7183,-95.538538,,,,S GESSNER RD & WOODLAKE SQ,Gessner Rd @ Woodlake Sq,0,7183,,46,46,3
29.742546,0,7184,-95.538518,,,,S GESSNER RD & ELLA LEE LN,Gessner Rd @ Ella Lee Ln,0,7184,,46,46,3
29.739584,0,7185,-95.538492,,,,S GESSNER RD & ELLA LEE LN,Gessner Rd @ Ella Lee Ln,0,7185,,46,46,3
29.732069,0,7186,-95.461506,,,,RICHMOND AVE & POST OAK BLVD,Richmond Ave @ Post Oak Blvd,0,7186,,25,25,3
29.731947,0,7187,-95.463841,,,,RICHMOND AVE & MC CUE RD,Richmond Ave @ McCue Rd,0,7187,,25,25,3
29.686169,0,875,-95.243926,,,,HOWARD DR & SWEETBRIAR ST,Howard Dr @ Sweetbriar St,0,875,,76,76,3
29.99712,0,12833,-95.407813,,,,IMPERIAL VALLEY DR & RICHEY RD,Imperial Valley Dr @ Richey Rd,0,12833,,86,86,3
29.996404,0,12832,-95.407657,,,,IMPERIAL VALLEY DR & RICHEY RD,Imperial Valley Dr @ Richey Rd,0,12832,,86,86,3
30.001892,0,12831,-95.408159,,,,IMPERIAL VALLEY DR & NORTH BEND DR,Imperial Valley Dr @ North Bend Dr,0,12831,,86,86,3
30.001553,0,12830,-95.407808,,,,IMPERIAL VALLEY DR & NORTH BEND DR,Imperial Valley Dr @ North Bend Dr,0,12830,,86,86,3
29.811059,0,8549,-95.498118,,,,HAMMERLY BLVD & MARNEL RD,Hammerly Blvd @ Marnel Rd,0,8549,,58,58,3
29.811132,0,8548,-95.494242,,,,HAMMERLY BLVD & RIDGEMORE DR,Hammerly Blvd @ Ridgemore Dr,0,8548,,58,58,3
29.719477,0,8019,-95.611229,,,,ASHFORD POINT DR & ASHBURNHAM DR,Ashford Point Dr @ Ashburnham Dr,0,8019,,25,25,3
29.719478,0,8018,-95.612885,,,,ASHFORD POINT DR & OVERTURE DR,Ashford Point Dr @ Overture Dr,0,8018,,25,25,3
29.717255,0,8017,-95.6136,,,,ASHFORD POINT DR & BRANT ROCK DR,Ashford Point Dr @ Brant Rock Dr,0,8017,,25,25,3
29.716289,0,8016,-95.615016,,,,SYNOTT RD & ASHFORD POINT DR,Synott Rd @ Ashford Point Dr,0,8016,,25,25,3
29.714033,0,8015,-95.614568,,,,SYNOTT RD & ALIEF CLODINE RD,Synott Rd @ Alief Clodine Rd,0,8015,,25,25,3
29.705104,0,8014,-95.640187,,,,TRES LAGUNAS DR & RIO BONITO RD,Tres Lagunas Dr @ Rio Bonito Rd,0,8014,,75,75,3
29.707165,0,8013,-95.639679,,,,RIO BONITO RD & TRES LAGUNAS DR,Rio Bonito Rd @ Tres Lagunas Dr,0,8013,,75,75,3
29.708594,0,8012,-95.64167,,,,SIERRA BLANCA DR & PRESIDIO SQUARE BLVD,Sierra Blanca Dr @ Presidio Square,0,8012,,75,75,3
29.81069,0,8543,-95.480674,,,,HAMMERLY BLVD & JACQUELYN DR,Hammerly Blvd @ Jacquelyn Dr,0,8543,,58,58,3
29.810893,0,8542,-95.478542,,,,HAMMERLY BLVD & WOODVINE DR,Hammerly Blvd @ Woodvine Dr,0,8542,,58,58,3
29.704797,0,7457,-95.542685,,,,BELLAIRE BLVD & PELLA DR,Bellaire Blvd @ Pella Dr,0,7457,,2,2,3
29.704643,0,7454,-95.551743,,,,BELLAIRE BLVD & CORPORATE DR,Bellaire Blvd @ Corporate Dr,0,7454,,2,2,3
29.70474,0,7455,-95.548101,,,,BELLAIRE BLVD & CORPORATE DR,Bellaire Blvd @ Corporate Dr,0,7455,,"152,2","152,2",3
29.704759,0,7452,-95.555406,,,,BELLAIRE BLVD & SAM HOUSTON PKWY,Bellaire Blvd @ Sam Houston Pkwy,0,7452,,2,2,3
29.704431,0,7453,-95.556017,,,,BELLAIRE BLVD & SAM HOUSTON PKWY,Bellaire Blvd @ Sam Houston Pkwy,0,7453,,2,2,3
29.705081,0,7450,-95.54797,,,,BELLAIRE BLVD & KENDALIA DR,Bellaire Blvd @ Kendalia Dr,0,7450,,"152,2","152,2",3
29.780104,0,2036,-95.326515,,,,WACO ST & NOBLE ST,Waco St @ Noble St,0,2036,,29,29,3
29.778157,0,2035,-95.326475,,,,WACO ST & OATS ST,Waco St @ Oats St,0,2035,,29,29,3
29.704813,0,7458,-95.541278,,,,BELLAIRE BLVD & PELLA DR,Bellaire Blvd @ Pella Dr,0,7458,,2,2,3
29.776748,0,2034,-95.326339,,,,WACO ST & NEW ORLEANS ST,Waco St @ New Orleans St,0,2034,,29,29,3
29.776001,0,2033,-95.326296,,,,WACO ST & LYONS AVE,Waco St @ Lyons Ave,0,2033,,29,29,3
29.774077,0,2032,-95.326305,,,,WACO ST & ORANGE,Waco St @ Orange,0,2032,,"29,48","29,48",3
29.776981,0,2030,-95.326633,,,,WACO ST & NEW ORLEANS ST,Waco St @ New Orleans St,0,2030,,29,29,3
29.983192,0,10884,-95.494758,,,,VETERANS MEMORIAL DR & FOUNTAINHEAD DR,Veterans Memorial Dr @ Fountainhead,0,10884,,96,96,3
29.969198,0,10880,-95.484113,,,,VETERANS MEMORIAL DR & RICHEY RD,Veterans Memorial Dr @ Richey Rd,0,10880,,96,96,3
29.972006,0,10881,-95.486261,,,,VETERANS MEMORIAL DR & SABLERIDGE DR,Veterans Memorial Dr @ Sableridge D,0,10881,,96,96,3
29.97532,0,10882,-95.488732,,,,VETERANS MEMORIAL DR & TORREY FOREST DR,Veterans Memorial Dr @ Torrey Fores,0,10882,,96,96,3
29.979083,0,10883,-95.491598,,,,VETERANS MEMORIAL DR & BAMMEL NORTH HOUSTON RD,Veterans Memorial Dr @ Bammel North,0,10883,,96,96,3
29.716823,0,4598,-95.427715,,,,BUFFALO SPEEDWAY & JARRARD,Buffalo Speedway   @ Jarrard,0,4598,,84,84,3
29.716487,0,4599,-95.427535,,,,BUFFALO SPEEDWAY & JARRARD,Buffalo Speedway   @ Jarrard,0,4599,,84,84,3
29.790355,0,2318,-95.310322,,,,LIBERTY RD & DABNEY ST,Liberty Rd @ Dabney St,0,2318,,77,77,3
29.789655,0,2319,-95.31203,,,,LIBERTY RD & EASY,Liberty Rd @ Easy,0,2319,,77,77,3
29.791674,0,2039,-95.327485,,,,BROYLES ST & TIFFIN ST,Broyles St @ Tiffin St,0,2039,,29,29,3
29.791339,0,6532,-95.446068,,,,HEMPSTEAD RD & W 12TH ST,Hempstead Rd @ W 12th St,0,6532,,66,66,3
29.789276,0,2038,-95.327325,,,,WACO ST & BOND ST,Waco St @ Bond St,0,2038,,29,29,3
29.79109,0,6533,-95.446114,,,,HEMPSTEAD RD & W 12TH ST,Hempstead Rd @ W 12th St,0,6533,,66,66,3
29.867178,0,8296,-95.459118,,,,TC JESTER BLVD & HOLDER FOREST DR,TC Jester Blvd @ Holder Forest Dr,0,8296,,3,3,3
29.764813,0,393,-95.337187,,,,CLINTON DR & BAYOU ST,Clinton Dr @ Bayou St,0,393,,30,30,3
