route_name,investment_priority,demand_score,route_equity_score,route_accessibility_score,rail_gap_score,population_served,investment_tier,recommended_investment
Cullen / Hirsch,0.24012742223165703,0.26335507034028627,0.0628613205100145,0.10232033004678522,3527.6430572341774,580888.0,Low Priority,Enhanced Bus Service
Clinton / Ella,0.2373468891321908,0.06742987136708338,0.0858727435361263,0.08130394090260216,4220.2420795533835,849814.0,Low Priority,Enhanced Bus Service
Almeda / Lyons,0.2333649369486083,0.16756666074397378,0.09963085707852434,0.13575329616692902,2616.967334064833,1076994.0,Low Priority,Enhanced Bus Service
Quitman,0.23244325857227235,0.062374173091023215,0.07895138654580772,0.059853117421102046,4924.612864068217,476122.0,Low Priority,Enhanced Bus Service
Hiram Clarke,0.2206656711889685,0.21048215519673785,0.09295135652790712,0.11504922510242485,3311.176594674117,319160.0,Low Priority,Enhanced Bus Service
Hardy /  Ley,0.21831285980414758,0.1658145077002927,0.0799364589353273,0.1094862112386138,4463.902467611635,493010.0,Low Priority,Enhanced Bus Service
Southmore,0.21730399246822885,0.15671475629060916,0.08843764576369026,0.11726016269425327,3713.6753415737503,603240.0,Low Priority,Enhanced Bus Service
OST - Wayside,0.20879914312739523,0.3044829924539605,0.06442144476415433,0.1472583491765951,2140.685347220722,635380.0,Low Priority,Enhanced Bus Service
Cambridge,0.20287051087024108,0.33128018874657306,0.08820061742727098,0.16816206369849612,1636.7587260300777,436396.0,Low Priority,Enhanced Bus Service
Sunnyside curb2curb,0.2018827746170333,0.17294258205677768,,,,,Low Priority,Enhanced Bus Service
Kirby / Polk,0.19959814332263345,0.12498005874497409,0.1148145059183042,0.14445308121350747,2149.315713142901,676944.0,Low Priority,Enhanced Bus Service
Veterans Memorial Express,0.19825764458294626,0.06456421787142241,0.0998775218340035,0.145317197788255,2407.694773831852,1171362.0,Low Priority,Enhanced Bus Service
Market,0.1922107881318014,0.10347036525574892,0.081274262782605,0.11214442297542898,2993.3349006488156,533400.0,Low Priority,Enhanced Bus Service
Sunnyside,0.1790054782875377,0.1633997644701954,0.06426784562959491,0.12430541616692424,2576.336001442026,452692.0,Low Priority,Enhanced Bus Service
Peerless Shuttle,0.17059015185154372,0.07012406286881155,0.07241088682099928,0.11107056534940106,2778.588693011979,456028.0,Low Priority,Enhanced Bus Service
Bellaire Quickline,0.16240909294098313,0.04136364313661047,,,,,Low Priority,Enhanced Bus Service
Memorial City Express,0.16090211295215706,0.036340376507190256,,,,,Low Priority,Enhanced Bus Service
Missouri City curb2curb,0.15608430288367542,0.02028100961225139,,,,,Low Priority,Enhanced Bus Service
Hiram Clarke curb2curb,0.1557293728749049,0.019097909583016347,,,,,Low Priority,Enhanced Bus Service
Acres Homes curb2curb,0.15223575062733086,0.007452502091102907,,,,,Low Priority,Enhanced Bus Service
Kashmere / Maxey Road curb2curb,0.1517520066513849,0.005840022171283038,,,,,Low Priority,Enhanced Bus Service
Lincoln City,0.15162663147239477,0.005422104907982611,,,,,Low Priority,Enhanced Bus Service
Kashmere Late Night curb2curb,0.1501518550850007,0.0005061836166689817,,,,,Low Priority,Enhanced Bus Service
Hardy - Kelley,0.1458674510954079,0.09672343543519907,0.0951820693824578,0.15498509178260547,2079.3681315234367,322616.0,Low Priority,Enhanced Bus Service
Manchester - Lawndale,0.14504577956552395,0.023339781230763572,0.06058500880566294,0.10122645058457137,3473.9755341013915,191460.0,Low Priority,Enhanced Bus Service
Irvington,0.14150071032658745,0.07872214807632427,0.07711839391729158,0.14352924028402786,2285.9486979638104,391648.0,Low Priority,Enhanced Bus Service
Kashmere / Maxey Road curb2cu,,,,,,,,Enhanced Bus Service
Kashmere Late Night curb2c,,,,,,,,Enhanced Bus Service
